Price,Close,High,Low,Open,Volume,Date,Lag1,Lag2,Lag3,MA5,MA10,Return
2015-01-14,219.93927001953125,222.39216668186634,218.98092621261094,219.06078239369418,3685232,2015-01-12,219.813720703125,220.65798950195312,222.6203155517578,220.6374542236328,218.9706268310547,0.0005711623278321643
2015-01-15,226.6134185791016,227.7657067222978,221.50226116688597,225.8946572806769,11398476,2015-01-13,219.93927001953125,219.813720703125,220.65798950195312,221.92894287109374,219.90843353271484,0.03034541561849169
2015-01-16,228.4844207763672,231.57622197821377,227.84552967469915,228.67837906242565,7821308,2015-01-14,226.6134185791016,219.93927001953125,219.813720703125,223.1017639160156,220.73100738525392,0.008256361026619974
2015-01-19,229.21463012695312,232.7399587582063,228.8495534094186,231.19976785465934,4239492,2015-01-15,228.4844207763672,226.6134185791016,219.93927001953125,224.81309204101564,221.81256408691405,0.0031958824505615713
2015-01-20,232.9567108154297,234.3371753238504,228.6327650189855,230.45817631654228,8505804,2015-01-16,229.21463012695312,228.4844207763672,226.6134185791016,227.44169006347656,223.60831451416016,0.016325662486744275
2015-01-21,232.72853088378903,235.69481027067818,232.36344027372903,234.42844791428834,6740612,2015-01-17,232.9567108154297,229.21463012695312,228.4844207763672,229.99954223632812,225.31849822998046,-0.0009794949921895224
2015-01-22,233.02513122558597,235.59211553529252,232.40905220590014,233.88079266215482,6470680,2015-01-18,232.72853088378903,232.9567108154297,229.21463012695312,231.281884765625,226.60541381835938,0.001274447703814241
2015-01-23,237.9423828125,239.12888905953653,233.7439310979932,235.0217134840865,9987912,2015-01-19,233.02513122558597,232.72853088378903,232.9567108154297,233.17347717285156,228.1376205444336,0.021101808036978476
2015-01-27,245.0728759765625,245.91711752345654,237.50882267130763,237.98798754531677,9962400,2015-01-20,237.9423828125,233.02513122558597,232.72853088378903,236.34512634277343,230.57910919189453,0.02996731006800646
2015-01-28,241.4904937744141,249.442435954613,240.72610838485292,244.1487544756328,11364940,2015-01-21,245.0728759765625,237.9423828125,233.02513122558597,238.0518829345703,232.74678649902344,-0.014617620117580943
2015-01-29,249.8531646728516,251.1309469762645,242.095166865658,245.289636550973,20567616,2015-01-22,241.4904937744141,245.0728759765625,237.9423828125,241.4768096923828,235.73817596435546,0.034629399972362584
2015-01-30,245.82586669921875,249.75051793407044,242.83676109275112,249.75051793407044,10570416,2015-01-23,249.8531646728516,241.4904937744141,245.0728759765625,244.03695678710938,237.6594207763672,-0.01611865904882992
2015-02-02,246.7955780029297,249.39679442121957,240.12141859138288,243.8064728628299,5710352,2015-01-24,245.82586669921875,249.8531646728516,241.4904937744141,245.8075958251953,239.49053649902345,0.003944708165709132
2015-02-03,242.8025054931641,246.932492827494,240.79456985367992,246.08825127562392,10200688,2015-01-25,246.7955780029297,245.82586669921875,249.8531646728516,245.35352172851563,240.84932403564454,-0.016179676078791783
2015-02-04,243.62391662597656,246.61304957076644,241.2394845294422,242.55149875128592,6197512,2015-01-26,242.8025054931641,246.7955780029297,245.82586669921875,245.78020629882812,241.91604461669922,0.0033830422430940477
2015-02-05,245.6319122314453,249.35119895984127,244.22862170000428,245.28964760687757,8059148,2015-01-27,243.62391662597656,242.8025054931641,246.7955780029297,244.9359558105469,243.20638275146484,0.008242194088651456
2015-02-06,240.3838348388672,246.19091301557077,239.59663740868004,245.74598018173702,6903120,2015-01-28,245.6319122314453,243.62391662597656,242.8025054931641,243.84754943847656,243.94225311279297,-0.02136561713379148
2015-02-09,237.3262939453125,239.98455486585937,236.04851153670694,238.90071684768697,5231896,2015-01-29,240.3838348388672,245.6319122314453,243.62391662597656,241.9536926269531,243.88064422607422,-0.012719411418010695
2015-02-10,240.60061645507807,242.39182364630352,235.02171409208603,235.02171409208603,9275752,2015-01-30,237.3262939453125,240.3838348388672,245.6319122314453,241.51331481933593,243.43341827392578,0.013796711924891403
2015-02-11,241.501953125,242.9622879326257,240.26979476064173,241.41067697697906,4161588,2015-01-31,240.60061645507807,237.3262939453125,240.3838348388672,241.08892211914062,243.43456420898437,0.00374619434979806
2015-02-12,245.51780700683597,246.8640533408763,240.20128573226955,243.0306786699757,5525740,2015-02-01,241.501953125,240.60061645507807,237.3262939453125,241.06610107421875,243.00102844238282,0.016628660057905975
2015-02-13,243.1904144287109,246.88686090902863,242.68840964448393,246.7043086504799,7714500,2015-02-02,245.51780700683597,241.501953125,240.60061645507807,241.6274169921875,242.73748321533202,-0.009479526583015874
2015-02-16,243.5897216796875,247.5713886319275,242.43741974324698,245.47217693887035,7388716,2015-02-03,243.1904144287109,245.51780700683597,241.501953125,242.8801025390625,242.41689758300782,0.0016419530840252605
2015-02-18,245.24398803710935,247.1036032791011,241.1938572314726,243.58970925734224,5381692,2015-02-04,243.5897216796875,243.1904144287109,245.51780700683597,243.80877685546875,242.66104583740236,0.0067911993413134475
2015-02-19,246.3849029541016,247.5485970946725,242.73408033046496,245.06146861160684,4507004,2015-02-05,245.24398803710935,243.5897216796875,243.1904144287109,244.78536682128907,242.93714447021483,0.004652162632502899
2015-02-20,244.8446807861328,248.68944729828067,243.8064670941431,247.1150246728657,6206024,2015-02-06,246.3849029541016,245.24398803710935,243.5897216796875,244.65074157714844,242.8584213256836,-0.006251284674920643
2015-02-23,243.57835388183597,246.78424406030348,242.32338344029017,245.7688421727291,5581564,2015-02-07,244.8446807861328,246.3849029541016,245.24398803710935,244.72832946777345,243.17787322998046,-0.005171960036995715
2015-02-24,243.612548828125,244.37693422815354,241.20527656988548,244.21722188315613,5846288,2015-02-08,243.57835388183597,244.8446807861328,246.3849029541016,244.73289489746094,243.8064987182617,0.00014038581731123934
2015-02-25,240.1442413330078,245.24400616211204,239.5852202937482,244.1487482993434,4648524,2015-02-09,243.612548828125,243.57835388183597,244.8446807861328,243.71294555664062,243.7608612060547,-0.014236982092265538
